SLN,name,tot_pop,bp_pop,bp_u18,rohh,thh,med_rent,mhi,per_as,per_bl,per_wh,per_his,tot_mf,tot_units,MAR,IncomeNeed,moymPerGr1t3_24,moymPerGrkt5_24,moymPerGr1t3_23,moymPerGrkt5_23,moymGr1t3_24,moymGrkt5_24,moymGr1t3_23,moymGrkt5_23,moymPerGr1t3_22,moymPerGrkt5_22,moymGr1t3_22,moymGrkt5_22
194,Polk Elementary,14572.7311,0.104093295181985,511.6077,2604.5351,6268.9044,1575.23076923077,122560.307692308,0.0386525350762837,0.0939591618485295,0.553113527223459,0.290693087721903,14,2090,1929,92592,0.108108108108108,0.0991379310344828,0.0654205607476636,0.072,12,23,7,18,0.131147540983607,0.109848484848485,16,29
195,Preston Hollow Elementary,17254.8817,0.0623678167553012,169.2796,4251.5678,8771.9699,1692.375,109132.647058824,0.0322686651627406,0.0643852226468756,0.797713872474709,0.0827648560465065,24,4634,2539.05263157895,121874.526315789,0.0606060606060606,0.0809968847352025,0.109195402298851,0.0888888888888889,10,26,19,28,0.08125,0.0838323353293413,13,28
197,Bishop Arts Elementary,1617.0089,0.130057478347831,82.0493,392.8355,612.94,1595.5,78075.5,0.00858844994607018,0.0414300131557717,0.217884020304403,0.702739051096132,26,1600,1527.72727272727,73330.9090909091,0.0227272727272727,0.0327272727272727,0.0234375,0.0347490347490348,3,9,3,9,0.0458715596330275,0.0347826086956522,5,8
198,Reilly Elementary,9736.9714,0.115260100281285,353.3618,2089.586,4278.7787,1467.125,87507.625,0.0170368170127315,0.112481587447201,0.394347240251728,0.454339138759307,7,1312,1204.2,57801.6,0.0936170212765957,0.0889370932754881,0.103603603603604,0.0781990521327014,22,41,23,33,0.0639269406392694,0.0715883668903803,14,32
199,Reinhardt Elementary,9820.0587,0.0943502608594386,239.3322,1108.4133,3900.1924,1568,89537.875,0.000308236446692523,0.0640172649884466,0.472895218029603,0.41630089237654,3,310,1739,83472,0.054945054945055,0.0594594594594595,0.0561224489795918,0.0552631578947368,10,22,11,21,0.0510204081632653,0.0358056265984655,10,14
201,Rice Learning Center,4740.3646,0.269621138424669,384.271,1044.6468,1767.1141,1142.2,40215.2,0.00177172025966104,0.540890799834258,0.0624093556010439,0.32942411222968,6,378,789,37872,0.116279069767442,0.10958904109589,0.136094674556213,0.127167630057803,20,40,23,44,0.147058823529412,0.137362637362637,30,50
202,Roberts Elementary,4232.4114,0.164625159075982,144.9392,862.8436,1549.312,1177.4,53097,0.0134512443662731,0.156832461986091,0.0730495622424607,0.737890413961176,9,177,744.8,35750.4,0.174698795180723,0.157575757575758,0.1375,0.0993589743589744,29,52,22,31,0.0674846625766871,0.0636363636363636,11,21
203,Rogers Elementary,16180.0628,0.0844993568257349,184.8989,7889.9412,9259.6479,1589.46153846154,77125.3846153846,0.110718964576578,0.099170585419483,0.573233603271305,0.157959417808935,27,9357,1758.51851851852,84408.8888888889,0.114942528735632,0.116531165311653,0.0890052356020942,0.0878186968838527,20,43,17,31,0.104166666666667,0.0983606557377049,20,36
204,Rosemont Lower Elementary,11175.8867,0.103627840106861,231.9105,1951.1563,5052.3249,1438.6,79149.8181818182,0.0116338062017039,0.0637231674870147,0.524227576501827,0.364294772243888,33,1365,1198.375,57522,0.0318725099601594,0.0324324324324324,0.0200803212851406,0.02710027100271,8,12,5,10,0.0144508670520231,0.0191458026509573,5,13
205,Russell Elementary,6474.7743,0.236290213235695,731.5552,908.7739,1905.8462,1319.625,55587.125,0.00205146919175237,0.262555700204098,0.0380913200325763,0.67754692236917,3,162,1659.5,79656,0.0747126436781609,0.0706521739130435,0.0504587155963303,0.0558139534883721,13,26,11,24,0.0705394190871369,0.082135523613963,17,40
206,Sanger Elementary,8598.1347,0.0981065695563015,182.7916,2022.2317,4256.8061,1479.61538461538,94074.9230769231,0.0190178574429638,0.100879101138064,0.651923143283624,0.21006931887215,12,2267,1494.5,71736,0.0446428571428571,0.05,0.037037037037037,0.0471092077087794,10,23,9,22,0.0511811023622047,0.0444915254237288,13,21
207,San Jacinto Elementary,3076.6404,0.122360058718594,39.1953,309.8882,1095.2174,1264.6,60181.8,1.26111585871394e-05,0.200719817629646,0.10904995591945,0.676758973846927,2,341,1112.5,53400,0.0502793296089386,0.0485714285714286,0.0529100529100529,0.0617977528089888,9,17,10,22,0.12565445026178,0.0989010989010989,24,36
208,Seagoville Elementary,11734.0763,0.126491686439775,569.1297,742.2991,2963.1845,1101.4,60986.4,0.00380617092118278,0.13055298609231,0.345387143937354,0.497070962458289,2,128,,,0.0853242320819113,0.0965391621129326,0.0909090909090909,0.0756143667296786,25,53,23,40,0.0827067669172932,0.0695488721804511,22,37
209,Silberstein Elementary,6401.8989,0.153246609377102,304.3125,677.8797,2023.8024,1106,50603.2222222222,0.000976179114606136,0.0487887742182245,0.106131385486266,0.839526566094319,1,160,913,43824,0.038961038961039,0.050328227571116,0.0666666666666667,0.0608108108108108,9,23,14,27,0.06,0.0486111111111111,12,21
210,Stemmons Elementary,11392.4661,0.135560736932981,612.7307,2208.5977,3955.9719,1289.5,58318.5,0.0159231897999679,0.243431498997394,0.126771244024154,0.592902962423562,6,1322,1288.8,61862.4,0.0583941605839416,0.0590551181102362,0.0441176470588235,0.0435643564356436,16,30,12,22,0.051792828685259,0.0628803245436106,13,31
211,Stevens Park Elementary,9801.6243,0.174585175642776,573.9403,2280.9348,3461.7907,1320.83333333333,79187.1666666667,0.00738700013221278,0.107625151476169,0.121799394004522,0.742105663037911,22,3468,1367.5,65640,0.0957854406130268,0.0907335907335907,0.137546468401487,0.12770137524558,25,47,37,65,0.0881226053639847,0.0831643002028398,23,41
213,Terry Elementary,3880.8904,0.220525397985988,117.6849,426.141,1393.7261,1466.83333333333,52915.3333333333,0.00354988123344066,0.440347143016458,0.0528382868014,0.478040297144181,0,0,,,0.089041095890411,0.0716845878136201,0.0538461538461539,0.0506329113924051,13,20,7,12,0.0909090909090909,0.0737704918032787,12,18
215,Fridia Elementary,4004.6144,0.206275440651664,161.7363,379.3245,1488.5391,1180.8,49125.2,0.000201917068469813,0.774876427553175,0.0134711846413977,0.184831578291283,2,412,1080,51840,0.127906976744186,0.0923913043478261,0.0845070422535211,0.137254901960784,11,17,6,21,0.139784946236559,0.105882352941176,13,18
216,Titche Elementary,12050.259,0.259598976254369,1558.7025,2302.0546,3665.3537,1426,54101,0.0071726010204428,0.397891812947755,0.0288334881432839,0.556680009948334,9,1790,1053.33333333333,50560,0.169054441260745,0.168238993710692,0.171974522292994,0.140939597315436,59,107,54,84,0.115646258503401,0.120274914089347,34,70
218,Truett Elementary,11252.0718,0.372940305979917,2099.5498,2002.1411,3340.7085,1393.375,55710.125,0.00728456958477638,0.317214683966023,0.133690561768367,0.530468220083701,14,2184,1176.58333333333,56476,0.114349775784753,0.118857142857143,0.116788321167883,0.121890547263682,51,104,48,98,0.119512195121951,0.122503328894807,49,92
219,Turner Elementary,12722.3908,0.195502240034947,784.2554,1696.7526,4663.4127,1415,54930.3,0.00361116088337736,0.593644372251165,0.126400904144526,0.245968611497141,5,830,1280,61440,0.162393162393162,0.113445378151261,0.185840707964602,0.168032786885246,19,27,21,41,0.181159420289855,0.149019607843137,25,38
222,Urban Park Elementary,6199.3479,0.0978334188987845,144.6504,452.1568,2041.3282,1177,62335.4285714286,0.00815864842816774,0.206739534653314,0.172358031398754,0.605815718133838,2,81,1369,65712,0.0926829268292683,0.104477611940299,0.0673076923076923,0.0638297872340426,19,42,14,27,0.0506912442396313,0.0528846153846154,11,22
224,Walnut Hill Elementary,5492.779,0.0458312813969031,47.1803,239.9026,2328.3195,2126,208617,0.0589583888228527,0.01262770630313,0.757272939617633,0.134394848217997,0,0,,,0.0198675496688742,0.0367892976588629,0.0440251572327044,0.0524590163934426,3,11,7,16,0.0542635658914729,0.0458015267175573,7,12
225,Webster Elementary,11066.6762,0.20132156753624,1071.0984,2382.6213,4169.5503,1268.27272727273,58090.5,0.0128401877340551,0.41647463219354,0.110191865919055,0.433342298385851,9,2588,1229.77777777778,59029.3333333333,0.18452380952381,0.155882352941176,0.120805369127517,0.129139072847682,31,53,18,39,0.176,0.14963503649635,22,41
226,Weiss Elementary,10845.3852,0.191825118392291,814.5328,1816.1891,3500.5829,1533.61538461538,61271,0.00201256106606522,0.419275140176672,0.0386188864919247,0.520297075294292,6,1087,1506.33333333333,72304,0.0732984293193717,0.0784313725490196,0.0614525139664804,0.0580110497237569,14,28,11,21,0.121693121693122,0.101522842639594,23,40
229,Winnetka Elementary,2978.6141,0.184366246033684,148.2951,215.494,966.3049,1535,75881.25,0.00432848954820969,0.0451410943095986,0.204992415768125,0.727773497077047,0,0,,,0.0170648464163823,0.0153846153846154,0.0131578947368421,0.0165562913907285,5,9,4,10,0.0401234567901235,0.0326086956521739,13,21
230,Withers Elementary,11667.0854,0.0710869057322577,164.7716,555.4894,4199.3692,2023.55555555556,183820.6,0.0668604945670493,0.021119430564895,0.653341664920015,0.222496005729074,1,56,925,44400,0.0099009900990099,0.0136612021857924,0.0209424083769634,0.0182291666666667,2,5,4,7,0.0540540540540541,0.0403022670025189,12,16
233,Nathan Adams Elementary,10707.2662,0.116802625118258,220.1556,2556.7903,5294.9882,1556.71428571429,129222.666666667,0.0695673934024355,0.0896580679015901,0.598862695689774,0.209501646648143,19,4988,1864.6875,89505,0.107142857142857,0.0970873786407767,0.135483870967742,0.0940438871473354,18,30,21,30,0.0807453416149068,0.0852941176470588,13,29
234,Gonzalez Elementary,6771.1001,0.21229653657018,546.8104,574.4782,1760.8307,1179.6,48995.4,0.00590457967088686,0.119828150229237,0.0416798593776512,0.809983343770091,1,26,,,0.0497737556561086,0.0542452830188679,0.0333333333333333,0.0299539170506912,11,23,7,13,0.076,0.0717299578059072,19,34
235,Alexander Elementary,6734.7688,0.218881262857902,406.3895,1012.6909,2501.4268,1410.71428571429,53902.5714285714,0.000570799104491902,0.658792474063846,0.028415377822621,0.302640158931662,3,424,1608,77184,0.122448979591837,0.119402985074627,0.125,0.150753768844221,12,24,13,30,0.132530120481928,0.1,11,18
236,Cochran Elementary,1368.0609,0.273683357224814,185.7579,190.8738,401.4948,1354.4,59374,0.00436384082024419,0.159736163792124,0.0635178594754079,0.731301289292019,3,784,1394.66666666667,66944,0.174863387978142,0.167553191489362,0.174157303370787,0.174285714285714,32,63,31,61,0.171428571428571,0.13677811550152,30,45
237,Runyon Elementary,5484.2201,0.150532069272712,366.6321,488.039,1497.454,1230,59883,1.82341332361916e-07,0.101953603211512,0.0767113267390563,0.784719562951166,3,532,1186,56928,0.0918367346938776,0.106951871657754,0.138297872340426,0.114882506527415,18,40,26,44,0.0966183574879227,0.104738154613466,20,42
239,Salazar Elementary,4448.1337,0.147816127918997,208.3211,365.8993,1492.293,1309,63774.5,0.00485214731742438,0.0144398762114547,0.182905046221969,0.786303523205699,0,0,,,0.0331491712707182,0.0191780821917808,0.0222222222222222,0.0314285714285714,6,7,4,11,0.0263157894736842,0.0340909090909091,5,12
240,Guzick Elementary,10827.3317,0.149785639244801,384.2131,1894.151,3822.5091,1272.63636363636,61321.6363636364,0.0217409244052253,0.353523019896028,0.114255195488285,0.506838873330167,11,1868,1275,61200,0.134020618556701,0.139372822299652,0.14453125,0.143129770992366,39,80,37,75,0.167857142857143,0.167557932263815,47,94
