SLN,name,SchoolYear,TotEvictions,EvicFilAmt,Year,rohh,moymPerGr1t3_24,moymPerGrkt5_24,moymPerGr1t3_23,moymPerGrkt5_23,moymGr1t3_24,moymGrkt5_24,moymGr1t3_23,moymGrkt5_23,evicRate,schoolType
115,Budd Elementary,2020-2021,28,1982.76923076923,2020,390.6696,0.0654761904761905,0.0729483282674772,0.0864864864864865,0.0718562874251497,11,24,16,24,71.6718167986452,Elementary School
115,Budd Elementary,2021-2022,31,2838.06387096774,2021,390.6696,0.0654761904761905,0.0729483282674772,0.0864864864864865,0.0718562874251497,11,24,16,24,79.3509400270715,Elementary School
115,Budd Elementary,2022-2023,19,3024.15117647059,2022,390.6696,0.0654761904761905,0.0729483282674772,0.0864864864864865,0.0718562874251497,11,24,16,24,48.6344471133664,Elementary School
115,Budd Elementary,2023-2024,31,4851.4424,2023,390.6696,0.0654761904761905,0.0729483282674772,0.0864864864864865,0.0718562874251497,11,24,16,24,79.3509400270715,Elementary School
115,Budd Elementary,2024-2025,14,2917.968,2024,390.6696,0.0654761904761905,0.0729483282674772,0.0864864864864865,0.0718562874251497,11,24,16,24,35.8359083993226,Elementary School
116,Burnet Elementary,2017-2018,22,1480.745,2017,650.2351,0.0560344827586207,0.0681318681318681,0.114035087719298,0.102844638949672,13,31,26,47,33.8339163788605,Elementary School
116,Burnet Elementary,2018-2019,40,1109.77825,2018,650.2351,0.0560344827586207,0.0681318681318681,0.114035087719298,0.102844638949672,13,31,26,47,61.5162115979282,Elementary School
116,Burnet Elementary,2019-2020,73,972.751095890411,2019,650.2351,0.0560344827586207,0.0681318681318681,0.114035087719298,0.102844638949672,13,31,26,47,112.267086166219,Elementary School
116,Burnet Elementary,2020-2021,32,2245.19925925926,2020,650.2351,0.0560344827586207,0.0681318681318681,0.114035087719298,0.102844638949672,13,31,26,47,49.2129692783426,Elementary School
116,Burnet Elementary,2021-2022,45,2179.022,2021,650.2351,0.0560344827586207,0.0681318681318681,0.114035087719298,0.102844638949672,13,31,26,47,69.2057380476692,Elementary School
