SLN,name,tot_pop,bp_pop,bp_u18,rohh,thh,med_rent,mhi,per_as,per_bl,per_wh,per_his,tot_mf,tot_units,MAR,IncomeNeed,moymPerGr1t3_24,moymPerGrkt5_24,moymPerGr1t3_23,moymPerGrkt5_23,moymGr1t3_24,moymGrkt5_24,moymGr1t3_23,moymGrkt5_23
162,Mockingbird Elementary,16738.4885,0.121098329756597,41.9093,4801.0254,8646.8261,1885.53846153846,145806.076923077,0.0735719596186956,0.082674633375648,0.720892504720483,0.0903149409219357,42,6506,1980.63636363636,95070.5454545455,0.0359116022099448,0.0307692307692308,0.032345013477089,0.0360902255639098,13,20,12,24
163,Cedar Crest Elementary,11611.3734,0.303935045272078,1386.0493,1406.9529,3928.0817,1152.63636363636,51253,0.00573989808991932,0.388376821987311,0.0601134746041325,0.529515914112279,14,954,1089.42857142857,52292.5714285714,0.153333333333333,0.133333333333333,0.186567164179104,0.194244604316547,23,36,25,54
164,Jones Elementary,2669.392,0.226594820093864,360.8217,317.2743,774.085,1158.8,50884.8,2.15030239095644e-05,0.0240787789878744,0.042007880446184,0.929321658265253,7,456,1155.16666666667,55448,0.0747126436781609,0.068421052631579,0.0894736842105263,0.0797872340425532,13,26,17,30
166,Kiest Elementary,5872.1617,0.171812230579413,372.9253,526.324,1855.1545,1416.75,60434.25,0.0111749988083605,0.0893283814033936,0.170200524280522,0.714519952677734,0,0,,,0.079295154185022,0.0679824561403509,0.101769911504425,0.0769230769230769,18,31,23,37
167,Kleberg Elementary,9334.2889,0.142850956755795,460.5911,911.3019,2626.2962,1306.85714285714,58080,0.0146975738023279,0.18602257960968,0.175177361394932,0.623624451992267,4,538,1057.25,50748,0.0954907161803713,0.0932568149210904,0.0769230769230769,0.0816618911174785,36,65,28,57
168,Knight Elementary,5191.1772,0.18122870088118,250.6262,1379.3779,2177.4926,1470.25,60272.4,0.0488894503543435,0.107784184288681,0.291385949992229,0.523608267504334,7,1414,1593.5,76488,0.0703125,0.0676691729323308,0.0625,0.0543478260869565,9,18,9,15
169,Kramer Elementary,12532.0854,0.0674491812831087,65.4307,4598.8322,6946.3565,1622.2,110965.727272727,0.0370442975117294,0.162127134882116,0.565052732564366,0.202561953495785,19,4892,1559.58823529412,74860.2352941177,0.112582781456954,0.101226993865031,0.0883977900552486,0.0826210826210826,17,33,16,29
170,Lagow Elementary,5296.4722,0.113842002229333,260.8924,494.9332,1475.7255,1154.33333333333,52443,0.00263664180093308,0.150087203327528,0.116484666907154,0.728331152195984,4,445,1361.66666666667,65360,0.0895522388059701,0.0647887323943662,0.0659340659340659,0.0696378830083566,18,23,12,25
171,Lakewood Elementary,16845.4742,0.0314742994887018,73.5528,2153.0427,6988.6836,1728.08333333333,128555.25,0.0191553883356991,0.0364265198304717,0.776879151315313,0.1293235188357,10,1218,1566.77777777778,75205.3333333334,0.0189328743545611,0.0157068062827225,0.0091743119266055,0.00834202294056309,11,15,5,8
172,Brashear Elementary,7379.3607,0.188668931713827,747.145,1018.7699,2296.4292,1168.875,62656.625,0.00109623317369484,0.187996949383434,0.0414387387243451,0.767923622435206,2,530,1241.5,59592,0.0427046263345196,0.0358490566037736,0.0510948905109489,0.043956043956044,12,19,14,24
